REMARKS,scomminc ID,scomminc title,Session Number,order within session,Paper ID,Authors,Title,title match?
,fp0749,Bayesian Reinforcement Learning in Factored POMDPs,1A: Reinforcement Learning 1,1,749,"Sammie Katt ,Frans Oliehoek ,Christopher Amato ",Bayesian Reinforcement Learning in Factored POMDPs,TRUE
,fp0943,Competitive Bridge Bidding with Deep Neural Networks,1A: Reinforcement Learning 1,2,943,"Jiang Rong ,Tao Qin ,Bo An ",Competitive Bridge Bidding with Deep Neural Networks,TRUE
,fp0902,Learning Curriculum Policies for Reinforcement Learning,1A: Reinforcement Learning 1,3,902,"Sanmit Narvekar ,Peter Stone ",Learning Curriculum Policies for Reinforcement Learning,TRUE
,fp0667,Model Primitive Hierarchical Lifelong Reinforcement Learning,1A: Reinforcement Learning 1,4,667,"Bohan Wu ,Jayesh Gupta ,Mykel Kochenderfer ",Model Primitive Hierarchical Lifelong Reinforcement Learning,TRUE
,fp0449,Negative Update Intervals in Deep Multi-Agent Reinforcement Learning,1A: Reinforcement Learning 1,5,449,"Gregory Palmer ,Rahul Savani ,Karl Tuyls ",Negative Update Intervals in Deep Multi-Agent Reinforcement Learning,TRUE
,fp0397,Self-Improving Generative Adversarial Reinforcement Learning,1A: Reinforcement Learning 1,6,397,"Yang Liu ,Zeng Yifeng ,Yingke Chen ,Jing Tang ",Self-Improving Generative Adversarial Reinforcement Learning,TRUE
,fp0219,A Child and a Robot Getting Acquainted - Interaction Design for Eliciting Self-Disclosure,1B: Socially Intelligent Agents 1,1,219,"Mike Ligthart,Timo Fernhout,Mark A. Neerincx,Kelly van Bindsbergen,Martha A. Grootenhuis ,Koen Hindriks ",A Child and a Robot Getting Acquainted - Interaction Design for Eliciting Self-Disclosure,TRUE
,fp0617,The Effect of Virtual Agent Warmth on Human-Agent Negotiation,1B: Socially Intelligent Agents 1,2,617,"Pooja Prajod ,Mohammed Al Owayyed ,Tim Rietveld ,Jaap-Jan van der Steeg ,Joost Broekens ",The Effect of Virtual Agent Warmth on Human-Agent Negotiation,TRUE
,fp0331,Anticipatory Bayesian Policy Selection for Online Adaptation of Collaborative Robots to Unknown Human Types,1B: Socially Intelligent Agents 1,3,331,"Orhan Can Görür , Benjamin Rosman , Sahin Albayrak",Anticipatory Bayesian Policy Selection for Online Adaptation of Collaborative Robots to Unknown Human Types,TRUE
,fp0550,Irony Man: Augmenting a Social Robot with the Ability to Use Irony in Multimodal Communication with Humans,1B: Socially Intelligent Agents 1,4,550,"Hannes Ritschel ,Ilhan Aslan ,Elisabeth Andre ",Irony Man: Augmenting a Social Robot with the Ability to Use Irony in Multimodal Communication with Humans,TRUE
,fp0199,Active Attention-Modified Policy Shaping,1B: Socially Intelligent Agents 1,5,199,"Taylor Kessler Faulkner,Reymundo Gutierrez,Elaine Short,Guy Hoffman,Andrea L. Thomaz",Active Attention-Modified Policy Shaping,TRUE
,fp0658,Domain Authoring Assistant for Intelligent Virtual Agent,1B: Socially Intelligent Agents 1,6,658,"Sepehr Janghorbani ,Ashutosh Modi ,Jakob Buhmann ,Mubbasir Kapadia ",Domain Authoring Assistant for Intelligent Virtual Agent,TRUE
,fp0690,Minimizing Travel in the Uniform Dispersal Problem for Robotic Sensors,1C: Multi-Robot Systems,1,690,"Michael Amir ,Alfred Bruckstein ",Minimizing Travel in the Uniform Dispersal Problem for Robotic Sensors,TRUE
,fp0734,Trust-Aware Behavior Reflection for Robot Swarm Self-Healing,1C: Multi-Robot Systems,2,734,"Rui Liu ,Fan Jia ,Wenhao Luo ,Meghan Chandarana ,Changjoo Nam ,Mike Lewis ,Katia Sycara ",Trust-Aware Behavior Reflection for Robot Swarm Self-Healing,TRUE
,fp0949,Multi-Agent Path Finding for UAV Traffic Management,1C: Multi-Robot Systems,3,949,"Florence Ho ,Ana Salta ,Ruben Geraldes ,Artur Goncalves ,Marc Cavazza ,Helmut Prendinger ",Multi-Agent Path Finding for UAV Traffic Management,TRUE
,fp0641,Distributed Self-Reconfiguration using a Deterministic Autonomous Scaffolding Structure,1C: Multi-Robot Systems,4,641,"Pierre Thalamy ,Benoit Piranda ,Julien Bourgeois ",Distributed Self-reconfiguration using a Deterministic Autonomous Scaffolding Structure,FALSE
,fp0786,Swarms Can be Rational,1C: Multi-Robot Systems,5,786,"Yinon Douchan ,Ran Wolf ,Gal Kaminka ",Swarms Can be Rational,TRUE
,jams896,A Complete Multi-Robot Path-Planning Algorithm,1C: Multi-Robot Systems,6,896,"Ebtehal  Alotaibi, Al-Imam Muhammad , Ebtehal Turki Saho Alotaibi",A Complete Multi-robot Path-Planning Algorithm,FALSE
,fp0339,A Counter Abstraction Technique for the Verification of Probabilistic Swarm Systems,1D: Verification and Validation,1,339,"Alessio Lomuscio ,Edoardo Pirovano ",A Counter Abstraction Technique for the Verification of Probabilistic Swarm Systems,TRUE
,fp0460,Decidable Model Checking with Uniform Strategies,1D: Verification and Validation,2,460,"Natasha Alechina ,Mehdi Dastani ,Brian Logan ",Decidable Model Checking with Uniform Strategies,TRUE
,fp0498,Formal Verification of Open Multi-Agent Systems,1D: Verification and Validation,3,498,"Panagiotis Kouvaros ,Alessio Lomuscio ,Edoardo Pirovano ,Hashan Punchihewa ",Formal Verification of Open Multi-Agent Systems,TRUE
,fp0322,Enforcing Equilibria in Multi-Agent Systems,1D: Verification and Validation,4,322,Giuseppe Perelli ,Normative Synthesis for Equilibrium Formation in Multi-Agent Systems,FALSE
,fp0440,On Domination and Control in Strategic Ability,1D: Verification and Validation,5,440,"Michał Knapik , Wojciech Jamroga, Damian Kurpiewski",On Domination and Control in Strategic Ability,TRUE
,fp0193,Resource-bounded ATL: the Quest for Tractable Fragments,1D: Verification and Validation,6,193,"Francesco Belardinelli, Stéphane Demri",Resource-bounded ATL: the Quest for Tractable Fragments,TRUE
,fp0160,Automated Mechanism Design via Neural Networks,1E: Economic Paradigms: Learning and Adaptation,1,160,"Weiran Shen,Pingzhong Tang,Song Zuo",Automated mechanism design via neural networks,FALSE
,fp0695,Monte Carlo Continual Resolving for Online Strategy Computation in Imperfect Information Games,1E: Economic Paradigms: Learning and Adaptation,2,695,"Michal Sustr , Vojtech Kovarik, Viliam Lisý",Monte Carlo Continual Resolving for Online Strategy Computation in Imperfect Information Games,TRUE
,fp0426,Multi-Agent Learning in Network Zero-Sum Games is a Hamiltonian System,1E: Economic Paradigms: Learning and Adaptation,3,426,"James Bailey ,Georgios Piliouras ",Multiagent Learning in Network Zero-Sum Games is a Hamiltonian System,FALSE
,fp0277,Optimal Value of Information Based Elicitation During Negotiation,1E: Economic Paradigms: Learning and Adaptation,4,277,Yasser Mohammad ,Optimal Value of Information Based Elicitation During Negotiation,TRUE
,fp0759,Reinforcement Learning in Stationary Mean-field Games,1E: Economic Paradigms: Learning and Adaptation,5,759,"Jayakumar Subramanian ,Aditya Mahajan ",Reinforcement learning in stationary mean-field games,FALSE
,fp0175,RLBOA: A Modular Reinforcement Learning Framework for Autonomous Negotiating Agents,1E: Economic Paradigms: Learning and Adaptation,6,175,"Jasper Bakker ,Aron Hammond,Daan Bloembergen,Tim Baarslag",RLBOA: A Modular Reinforcement Learning Framework for Autonomous Negotiating Agents,TRUE
,fp0356,Cooperation with Bottom-up Reputation Dynamics,1F: Agent Societies and Societal Issues 1,1,356,"Jason Xu ,Julian Garcia ,Toby Handfield",Cooperation with bottom-up reputation dynamics,FALSE
,fp0209,Dynamic Source Weight Computation for Truth Inference over Data Streams,1F: Agent Societies and Societal Issues 1,2,209,"Yi Yang ,Quan Bai ,Qing Liu",Dynamic Source Weight Computation for Truth Inference over Data Streams,TRUE
,fp0172,Egocentric Bias and Doubt in Cognitive Agents,1F: Agent Societies and Societal Issues 1,3,172,"Nanda Kishore Sreenivas,Shrisha Rao ",Egocentric Bias and Doubt in Cognitive Agents,TRUE
,fp0184,Optimal Control of Complex Systems through Variational Inference with a Discrete Event Decision Process,1F: Agent Societies and Societal Issues 1,4,184,"Fan Yang,Wen Dong ",Optimal Control of Social Systems through Variational Inference with a Discrete Event Decision Process,FALSE
,fp0143,Attacking Similarity-Based Link Prediction in Social Networks,1F: Agent Societies and Societal Issues 1,5,143,"Kai Zhou,Tomasz Michalak,Marcin Waniek,Talal Rahwan,Yevgeniy Vorobeychik",Attacking Similarity-Based Link Prediction in Social Networks,TRUE
,fp0140,Removing Malicious Nodes from Networks,1F: Agent Societies and Societal Issues 1,6,140,"Sixie Yu,Yevgeniy Vorobeychik",Removing Malicious Nodes from Networks,TRUE
,fp0127,NoRML: No-reward Meta Learning,2A: Reinforcement Learning 2,1,127,"Yuxiang Yang,Ken Caluwaerts,Jie Tan,Chelsea Finn,Atil Iscen ",No-reward Meta Reinforcement Learning,FALSE
,fp0708,Prediction in Intelligence: An Empirical Comparison of Off-policy Algorithms on Robots,2A: Reinforcement Learning 2,2,708,"Banafsheh Rafiee ,Sina Ghiassian ,Adam White ,Richard Sutton ",Prediction in Intelligence: An Empirical Comparison of Off-policy Algorithms on Robots,TRUE
